is_fiverr_choice,score,buying_review_rating_count,is_pro,buying_review_rating,seller_country,pos,count,seller_level,price_i,seller_name
False,5,109,False,5,PK,0,91,LEVEL_TWO,5,lucy_140
False,5,1300,False,5,PK,1,875,LEVEL_TRS,80,hafizejaz
False,4.9,24,False,4.9,AF,2,19,LEVEL_TWO,20,basirasultani
False,5,2635,False,5,PK,3,2064,LEVEL_TRS,30,sarahalee
False,4.9,3166,False,4.9,MX,4,2332,LEVEL_TWO,5,dele9707
False,5,338,False,5,GB,5,256,LEVEL_TRS,30,techgstore
False,5,54,False,5,US,6,36,LEVEL_TRS,190,rankharvest
False,5,704,False,5,BE,7,507,LEVEL_TRS,65,arnasofc
False,4.9,35,False,4.9,US,8,29,LEVEL_TWO,80,dylantran1
False,5,139,False,5,BD,9,80,LEVEL_TWO,60,tech_wide
False,4.9,211,False,4.9,BD,10,139,LEVEL_TWO,65,websquadron
False,5,83,False,5,BD,11,67,LEVEL_TWO,25,wordpress_270
False,4.9,9116,False,4.9,IN,12,5610,LEVEL_TRS,25,sonarish
False,4.9,142,False,4.9,PK,13,111,LEVEL_TWO,45,awais_khan4
False,4.9,2236,False,4.9,IN,14,1387,LEVEL_TRS,120,ramiz_raza
False,5,2315,True,5,PK,15,2077,LEVEL_TRS,50,malikahmed
False,4.9,287,False,4.9,PK,16,257,LEVEL_TRS,40,sauddeveloper
False,5,179,False,5,BD,17,140,LEVEL_TWO,10,saifeshanto01
False,4.9,760,False,4.9,GB,432,749,LEVEL_TRS,20,zohaibtarar
False,5,1705,False,5,PK,433,1026,LEVEL_TRS,50,webdeveloper991
False,4.8,258,False,4.8,BD,434,167,LEVEL_TWO,80,sm_techno
False,4.9,413,False,4.9,BD,435,231,LEVEL_TWO,75,techpulse_
False,4.9,806,False,4.9,BD,436,616,LEVEL_TWO,30,wpjuwel
False,4.9,167,False,4.9,BD,437,128,LEVEL_TWO,40,tanim_web
False,4.9,670,False,4.9,IN,438,360,LEVEL_TWO,30,deepakt007
False,5,283,False,5,IN,439,246,LEVEL_TWO,15,rahulsingh619
False,5,2054,False,5,PK,440,1226,LEVEL_TWO,15,farahbatool1302
False,5,39,False,5,BD,441,33,LEVEL_TWO,80,kaziferoz44
False,5,1224,False,5,PK,442,1027,LEVEL_TRS,30,toobach1995
False,5,54,False,5,IN,443,51,LEVEL_TWO,135,sharkdesigners
False,4.9,57,False,4.9,PK,444,47,LEVEL_TWO,25,abdul_manann
False,5,189,False,5,DE,445,138,LEVEL_TRS,15,iamstratos
False,5,765,False,5,BD,446,574,LEVEL_TWO,25,wparifhossen
False,5,91,False,5,IN,447,68,LEVEL_TRS,50,designerpro10
False,5,1027,False,5,IN,448,686,LEVEL_TWO,25,devenk
False,5,2935,False,5,NG,449,2447,LEVEL_TWO,10,seodpress
False,4.9,809,True,4.9,BD,450,418,LEVEL_TWO,180,wix_buddy
False,4.9,1093,False,4.9,BD,451,743,LEVEL_TRS,105,rajibkhan777
False,5,1035,False,5,PK,452,829,LEVEL_TWO,40,zesh_ii
False,5,4290,True,5,IN,453,2795,LEVEL_TRS,30,hetarthdesai
False,5,1430,False,5,IN,454,1033,LEVEL_TWO,20,surjeetsinghpro
False,4.9,618,True,4.9,GB,455,425,LEVEL_TRS,35,beamdigital
False,5,84,False,5,DE,456,69,LEVEL_ONE,410,fsrmedia
False,5,788,False,5,BD,457,662,LEVEL_TWO,15,dev_rahul_das
False,5,1107,False,5,IN,458,778,LEVEL_TWO,30,creationmufu
False,4.9,203,False,4.9,PK,459,159,LEVEL_TRS,100,farooq_anwer
False,4.9,115,False,4.9,GB,460,70,LEVEL_TWO,100,cartmade
False,4.9,401,False,4.9,AE,461,343,LEVEL_TWO,10,umerjaved94
False,5,426,False,5,BD,462,392,LEVEL_TRS,50,mosharafmanu
False,4.9,1218,False,4.9,IN,463,802,LEVEL_TWO,80,manojkrp
False,5,531,False,5,PK,464,456,LEVEL_TWO,5,sumaiyaarif123
False,4.9,578,False,4.9,PK,465,369,LEVEL_TRS,50,shopify_xpert01
False,4.9,426,False,4.9,BD,466,299,LEVEL_TWO,30,devloper_kausar
False,4.9,206,False,4.9,PK,467,189,LEVEL_TWO,35,wpdeveloper429
False,5,256,False,5,LK,468,184,LEVEL_TWO,80,shopiify
False,5,72,False,5,PK,469,64,LEVEL_TWO,30,xhzad87
False,4.8,343,False,4.8,BD,470,220,LEVEL_TWO,50,rokey64
False,4.9,2457,False,4.9,PK,471,1639,LEVEL_TRS,25,happycode
False,5,605,False,5,LK,472,526,LEVEL_TRS,50,nipunad
False,4.9,136,False,4.9,PK,473,101,LEVEL_TWO,80,rehankhan70
False,4.9,786,True,4.9,ZA,474,568,LEVEL_TRS,80,tiaanrich
False,4.9,50,False,4.9,PK,475,40,LEVEL_TWO,10,malikwaqas966
False,5,544,True,5,IN,476,304,LEVEL_TRS,135,massivework
False,4.9,114,False,4.9,LK,477,68,LEVEL_TWO,15,madusha_d
False,4.9,84,False,4.9,PK,478,65,LEVEL_TWO,10,shopify_fariha
False,4.9,298,False,4.9,US,479,180,LEVEL_TWO,145,samakinz
False,4.974659,114,False,5,BD,480,424,top_rated_seller,40,sourav_malo
False,4.978836,16,False,5,AU,481,1073,top_rated_seller,650,elonbrumm
False,5,6,False,5,PK,482,6,level_one_seller,80,mate_ur_rehman3
False,4.7,26,False,4.7,PK,483,26,level_two_seller,85,faizanawan874
False,4.991667,31,True,5,CA,484,50,level_one_seller,995,jamesbns
False,4.6382113,185,False,4.7,PK,485,304,level_two_seller,80,shaharyar3asad
False,4.7833333,17,False,4.7,PK,486,20,level_two_seller,80,rajasof
False,4.9920635,38,False,5,PK,487,42,level_two_seller,20,asimhameed337
False,4.969697,13,False,5,US,488,44,level_one_seller,40,cbarnhill0
False,5,17,False,5,PK,489,17,level_one_seller,80,ayyan_62
False,4.9620595,127,False,5,PK,490,543,top_rated_seller,150,efficientmentor
False,4.965909,112,False,5,IN,491,155,level_two_seller,350,ramanverma2005
False,4.75,4,False,4.8,PK,492,8,level_one_seller,80,scared488
False,4.8954544,6,False,5,PK,493,501,level_one_seller,80,asfii_writer
