seller_level,buying_review_rating,count,seller_country,seller_name,is_fiverr_choice,pos,buying_review_rating_count,is_pro,price_i,isPro,score
level_two_seller,5,101,BD,web_chrome,True,0,101,False,80,,4.993399
top_rated_seller,4.9,480,BD,leadsbridge,False,1,35,False,85,,4.907986
top_rated_seller,4.9,450,PK,shahzaib_cheema,False,2,319,False,100,,4.943953
level_two_seller,4.9,131,PK,aleenkha,False,3,131,False,80,,4.9083967
top_rated_seller,4,119,IN,rooloo,False,4,4,True,150,,4.885714
top_rated_seller,5,905,PK,ibrahimshah361,False,5,820,False,100,,4.933544
top_rated_seller,5,441,PK,gramup,False,6,361,False,180,,4.9895425
level_two_seller,4.9,662,PK,link2adeel,False,7,461,False,20,,4.9432497
top_rated_seller,4.9,1686,PK,noorahmed007,False,8,1539,False,80,,4.9300876
top_rated_seller,4.9,1430,US,rankharvest,False,9,16,False,300,,4.908741
level_two_seller,4.7,165,PK,webflow_web_hub,False,10,94,False,100,,4.6239314
top_rated_seller,4.9,1536,IN,ramiz_raza,False,11,1301,False,200,,4.894795
top_rated_seller,4.9,1866,PK,wix_guru,False,12,1837,False,145,,4.8734837
level_two_seller,5,68,BD,web_spero,False,13,35,False,85,,4.9313726
level_two_seller,5,111,BD,tech_wide,False,14,76,False,85,,4.963964
level_two_seller,5,113,BD,godev_,False,15,111,False,90,,4.961652
level_two_seller,4.9,157,BD,wp_arju,False,16,154,False,80,,4.81741
level_two_seller,4.9,252,BD,pixleehub,False,17,251,False,90,,4.9126983
level_one_seller,5,35,PK,talha_dx,False,18,10,False,80,,4.866667
level_two_seller,4.9,140,BD,websquadron,False,19,139,False,120,,4.9428573
level_two_seller,4.9,141,BD,dotweb01,False,20,141,False,85,,4.9479904
level_two_seller,4.9,405,PK,hsnfarooq,False,21,391,False,15,,4.8568625
top_rated_seller,5,187,PK,badar121,False,22,147,False,80,,4.9930553
level_two_seller,4.9,141,BD,xpresseditor,False,23,140,False,80,,4.917258
level_two_seller,4.9,639,PK,noah_designer,False,24,35,False,200,,4.8911567
level_two_seller,5,139,BD,shopify_pos,False,25,139,False,95,,4.961631
level_two_seller,5,34,BD,rank_champ,False,26,34,False,150,,5
level_two_seller,5,86,PK,hashamzafar2231,False,27,84,False,100,,4.97093
level_one_seller,4.9,217,PK,businesswp,False,28,217,False,80,,4.8517666
level_one_seller,5,14,IN,rajpdheeraj,False,29,13,False,50,,4.928571
level_two_seller,5,77,BD,anchortech_,False,30,59,False,85,,5
level_two_seller,5,38,BD,wpweb_guru,False,31,38,False,85,,5
level_two_seller,4.9,28,PK,devsaffinity,False,32,28,False,100,,4.928571
level_two_seller,4.9,238,PK,aliahmed2u,False,33,196,False,80,,4.9481792
level_two_seller,5,35,BD,tech_wonder,False,34,35,False,80,,5
level_two_seller,4.9,81,PK,digixtudios,False,35,62,False,80,,4.9423866
level_two_seller,5,36,PK,digitals360s,False,36,36,False,80,,4.962963
level_two_seller,5,56,BD,dev_verse,False,37,56,False,85,,5
level_two_seller,4.8,333,BD,pandascout,False,38,321,False,150,,4.838906
level_two_seller,5,82,PK,nomanmalik200,False,39,33,False,80,,4.804878
level_one_seller,5,16,BD,web_experts24,False,40,16,False,85,,5
level_two_seller,4.7,28,PK,spark_tech03,False,41,28,False,100,,4.7261906
level_one_seller,5,17,AE,webbe_tech,False,42,17,False,350,,5
level_two_seller,5,75,BD,tech_reaper,False,43,75,False,85,,4.9911113
level_two_seller,4.8,234,PK,abdcorp,False,44,73,False,80,,4.886447
level_two_seller,5,666,PK,alimehdi242,False,45,593,False,80,,4.992467
,5,9,US,adeyinkadavies,False,432,5,False,30,,5
level_two_seller,5,68,GB,webcraftsmith,False,433,29,False,1600,,5
level_one_seller,5,14,BD,uiux_raiyan,False,434,14,False,80,,4.952381
level_two_seller,5,52,BD,tapasmandal,False,435,15,False,125,,5
,5,4,US,carinarodgers,False,436,4,False,10,,5
top_rated_seller,5,127,AU,dereksiu,False,437,127,True,380,,4.9868765
level_two_seller,4.9,418,BD,wix_buddy,False,438,83,True,295,,4.8874893
top_rated_seller,5,523,BD,richardgomez007,False,439,437,False,150,,4.962963
level_two_seller,5,103,BD,farhana_hasan,False,440,86,False,80,,4.977778
,5,2,US,perc_franklin,False,441,2,False,10,,5
,5,2,AR,sebasab,False,442,2,False,130,,5
level_two_seller,4.9,38,TN,artzoned,False,443,12,False,200,,4.888889
,5,2,IN,robindkumar,False,444,1,False,100,,5
top_rated_seller,4.9,570,PK,sunnykhan996,False,445,36,False,80,,4.9239483
top_rated_seller,5,443,ES,tanasiychuk8,False,446,22,True,355,,4.970266
level_one_seller,4.8,107,PK,mujeeb_design,False,447,82,False,35,,4.8317757
level_two_seller,4.9,86,PK,wordpress_ceo,False,448,34,False,150,,4.9534883
top_rated_seller,5,690,PK,fawad_ramzan,False,449,89,False,175,,4.974396
