buying_review_rating,is_pro,buying_review_rating_count,seller_name,pos,score,count,seller_level,seller_country,price_i,is_fiverr_choice,isPro
5,FALSE,101,web_chrome,0,4.993399,101,level_two_seller,BD,80,TRUE,
4.9,FALSE,35,leadsbridge,1,4.907986,480,top_rated_seller,BD,85,FALSE,
4.9,FALSE,319,shahzaib_cheema,2,4.943953,450,top_rated_seller,PK,100,FALSE,
4.9,FALSE,131,aleenkha,3,4.9083967,131,level_two_seller,PK,80,FALSE,
4,TRUE,4,rooloo,4,4.885714,119,top_rated_seller,IN,150,FALSE,
5,FALSE,820,ibrahimshah361,5,4.933544,905,top_rated_seller,PK,100,FALSE,
5,FALSE,361,gramup,6,4.9895425,441,top_rated_seller,PK,180,FALSE,
4.9,FALSE,461,link2adeel,7,4.9432497,662,level_two_seller,PK,20,FALSE,
4.9,FALSE,1539,noorahmed007,8,4.9300876,1686,top_rated_seller,PK,80,FALSE,
4.9,FALSE,16,rankharvest,9,4.908741,1430,top_rated_seller,US,300,FALSE,
4.7,FALSE,94,webflow_web_hub,10,4.6239314,165,level_two_seller,PK,100,FALSE,
4.9,FALSE,1301,ramiz_raza,11,4.894795,1536,top_rated_seller,IN,200,FALSE,
4.9,FALSE,1837,wix_guru,12,4.8734837,1866,top_rated_seller,PK,145,FALSE,
5,FALSE,35,web_spero,13,4.9313726,68,level_two_seller,BD,85,FALSE,
5,FALSE,76,tech_wide,14,4.963964,111,level_two_seller,BD,85,FALSE,
5,FALSE,111,godev_,15,4.961652,113,level_two_seller,BD,90,FALSE,
4.9,FALSE,154,wp_arju,16,4.81741,157,level_two_seller,BD,80,FALSE,
4.9,FALSE,251,pixleehub,17,4.9126983,252,level_two_seller,BD,90,FALSE,
5,FALSE,10,talha_dx,18,4.866667,35,level_one_seller,PK,80,FALSE,
4.9,FALSE,139,websquadron,19,4.9428573,140,level_two_seller,BD,120,FALSE,
4.9,FALSE,141,dotweb01,20,4.9479904,141,level_two_seller,BD,85,FALSE,
4.9,FALSE,391,hsnfarooq,21,4.8568625,405,level_two_seller,PK,15,FALSE,
5,FALSE,147,badar121,22,4.9930553,187,top_rated_seller,PK,80,FALSE,
4.9,FALSE,140,xpresseditor,23,4.917258,141,level_two_seller,BD,80,FALSE,
